Nombre;Alumno;Ciudad;Nota Estructuras de Datos y Algoritmos;Nota Arquitectura y Organizacion de Computadores;Nota Desarrollo Web;Nota Analisis y Disenio de Sistemas de Informacion
Nichole;Myles Fulton;Sant'Elpidio a Mare;3;1;7;7
Jade;Cecilia Spears;Overland Park;9;5;1;10
Samson;Cassandra Britt;Lagundo/Algund;6;9;2;7
Portia;Hedy L. Kerr;Peutie;5;1;7;5
Jessamine;Aubrey Scott;Sint-Pieters-Kapelle;7;5;3;8
Isaiah;Rajah Haney;Mannheim;9;1;4;5
Ashton;Unity C. Duffy;Rankweil;3;1;5;1
Vanna;Garrett Graham;Gaasbeek;9;10;2;2
Francis;Dahlia O. Boyd;Masone;4;6;10;4
Jennifer;Nathaniel Bright;Attock;3;7;6;4
Suki;Remedios Mcgowan;Salt Spring Island;5;4;9;1
Micah;Mikayla Mcdonald;Newtonmore;9;4;8;10
Paula;Britanney Gonzalez;Valfabbrica;7;6;1;7
Deanna;Philip Hebert;San Pedro de la Paz;5;5;10;4
Colleen;Eaton Blanchard;Newmarket;9;3;1;7
Cara;Jena Carroll;Wekweti;1;3;1;7
Alec;Dane Herring;Dalbeattie;10;9;8;5
Sage;Samson Z. Pace;Shaftesbury;2;5;10;2
Audrey;Amir E. Stevenson;Kırıkhan;6;10;7;3
Byron;Rafael Z. Nash;Rae-Edzo;7;4;5;3
Melyssa;Renee S. Spence;Concepción;6;2;8;3
Patience;TaShya S. Fischer;Turgutlu;2;6;10;10
Price;Magee Clements;Alcalá de Henares;9;10;3;9
Kasimir;Latifah Hicks;ThimŽon;8;1;8;4
Ali;Maris Ball;Beaconsfield;5;4;2;8
Vernon;Willa E. Velez;Luttre;9;5;4;10
Coby;Jessamine Brock;Armento;3;7;2;7
Lacota;Bertha R. Frost;Coihueco;4;1;9;6
Ginger;Duncan Harris;Springfield;9;3;10;7
Doris;Vera D. Hoffman;Neu-Ulm;8;4;2;8
Louis;Eaton Sweeney;Beaconsfield;3;1;6;8
Jonas;Blaze D. Cruz;Orp-Jauche;6;5;2;10
Fatima;Martina Burnett;Sint-Stevens-Woluwe;2;5;5;9
Odessa;Amity Gamble;Tucson;8;4;3;7
Dylan;Dexter O. Dawson;Dereham;2;1;8;8
Irma;Doris Cunningham;Friedberg;10;1;3;5
Samantha;Celeste L. Berry;Vichy;10;1;3;5
Hayden;Jane U. Reyes;Grand Island;9;4;10;9
Joseph;Cassandra W. Caldwell;Motta Visconti;3;9;5;3
Upton;Justin Holden;Comblain-au-Pont;8;7;5;5
Germane;Cora Pratt;Welland;4;7;2;2
Eleanor;Derek Bryant;Legal;8;9;4;4
Latifah;Amy Stafford;Bloomington;10;8;7;9
Indigo;Yasir K. Delacruz;Beauport;7;3;4;5
Blythe;Dennis H. Alexander;Wasseiges;1;2;1;3
Calista;Barbara G. Browning;Kostroma;8;7;3;8
Ulla;Nelle C. Brennan;Berlare;8;8;4;7
Martena;Lois K. Pollard;Crystal Springs;4;7;3;7
Knox;Igor Nielsen;Malambo;3;2;1;2
Steven;Serina B. Alston;Sauvenire;6;1;6;10
Lance;Quinn N. Cooke;Marsciano;5;10;5;6
Oren;Thor J. Manning;Whitchurch-Stouffville;3;7;4;4
Chase;Byron Maldonado;Farciennes;2;6;7;7
Malachi;Plato Browning;Great Yarmouth;2;3;3;2
Keegan;Buffy Ellis;Linköping;2;7;3;4
Mufutau;Paki F. Cunningham;Marzabotto;9;1;8;10
Rahim;Wynne Y. Hurst;Voskresensk;7;7;4;6
Merritt;Malcolm G. Johnston;Raychikhinsk;3;4;10;4
Cain;Larissa W. Newman;Stewart;7;3;6;3
Latifah;Axel U. Lawson;Bajaur Agency;7;10;2;9
Hayden;Kieran X. Rhodes;Bidar;2;3;10;3
Emily;Baker N. Jones;Saint-Remy;1;6;8;10
Nicholas;Xavier Huffman;Lossiemouth;1;4;6;7
Alfonso;Destiny Garcia;Liberia;1;7;10;10
